WDSTB03CD,WDSTB03NM,WDCAS03CD,WDCAS03NM,WDSTL03CD,WDSTL03NM
17UGGT,Old Park,17UGGT,Old Park,17UGGT,Old Park
17UGGU,Sandiacre North,17UGGU,Sandiacre North,17UGGU,Sandiacre North
17UGGW,Sandiacre South,17UGGW,Sandiacre South,17UGGW,Sandiacre South
17UGGX,Sawley,17UGGX,Sawley,17UGGX,Sawley
17UGGY,Stanley,17UGGY,Stanley,17UGGY,Stanley
17UGGZ,West Hallam and Dale Abbey,17UGGZ,West Hallam and Dale Abbey,17UGGZ,West Hallam and Dale Abbey
17UGHA,Wilsthorpe,17UGHA,Wilsthorpe,17UGHA,Wilsthorpe
17UHGC,Barms,17UHGC,Barms,17UHGC,Barms
17UHGD,Blackbrook,17UHGD,Blackbrook,17UHGD,Blackbrook
17UHGE,Burbage,17UHGE,Burbage,17UHGE,Burbage
17UHGF,Buxton Central,17UHGF,Buxton Central,17UHGF,Buxton Central
17UHGG,Chapel East,17UHGG,Chapel East,17UHGG,Chapel East
17UHGH,Chapel West,17UHGH,Chapel West,17UHGH,Chapel West
17UHGJ,Corbar,17UHGJ,Corbar,17UHGJ,Corbar
17UHGK,Cote Heath,17UHGK,Cote Heath,17UHGK,Cote Heath
17UHGL,Dinting,17UHGL,Dinting,17UHGL,Dinting
17UHGM,Gamesley,17UHGM,Gamesley,17UHGM,Gamesley
17UHGN,Hadfield North,17UHGN,Hadfield North,17UHGN,Hadfield North
17UHGP,Hadfield South,17UHGP,Hadfield South,17UHGP,Hadfield South
17UHGQ,Hayfield,17UHGQ,Hayfield,17UHGQ,Hayfield
17UHGR,Hope Valley,17UHGR,Hope Valley,17UHGR,Hope Valley
17UHGS,Howard Town,17UHGS,Howard Town,17UHGS,Howard Town
17UHGT,Limestone Peak,17UHGT,Limestone Peak,17UHGT,Limestone Peak
17UHGU,New Mills East,17UHGU,New Mills East,17UHGU,New Mills East
17UHGW,New Mills West,17UHGW,New Mills West,17UHGW,New Mills West
17UHGX,Old Glossop,17UHGX,Old Glossop,17UHGX,Old Glossop
17UHGY,Padfield,17UHGY,Padfield,17UHGY,Padfield
17UHGZ,St John's,17UHGZ,St John's,17UHGZ,St John's
17UHHA,Sett,17UHHA,Sett,17UHHA,Sett
17UHHB,Simmondley,17UHHB,Simmondley,17UHHB,Simmondley
17UHHC,Stone Bench,17UHHC,Stone Bench,17UHHC,Stone Bench
17UHHD,Temple,17UHHD,Temple,17UHHD,Temple
17UHHE,Tintwistle,17UHHE,Tintwistle,17UHHE,Tintwistle
17UHHF,Whaley Bridge,17UHHF,Whaley Bridge,17UHHF,Whaley Bridge
17UHHG,Whitfield,17UHHG,Whitfield,17UHHG,Whitfield
17UJGD,Ashover,17UJGD,Ashover,17UJGD,Ashover
17UJGE,Barlow and Holmesfield,17UJGE,Barlow and Holmesfield,17UJGE,Barlow and Holmesfield
17UJGF,Brampton and Walton,17UJGF,Brampton and Walton,17UJGF,Brampton and Walton
17UJGG,Clay Cross North,17UJGG,Clay Cross North,17UJGG,Clay Cross North
17UJGH,Clay Cross South,17UJGH,Clay Cross South,17UJGH,Clay Cross South
17UJGJ,Coal Aston,17UJGJ,Coal Aston,17UJGJ,Coal Aston
17UJGK,Dronfield North,17UJGK,Dronfield North,17UJGK,Dronfield North
17UJGL,Dronfield South,17UJGL,Dronfield South,17UJGL,Dronfield South
17UJGM,Dronfield Woodhouse,17UJGM,Dronfield Woodhouse,17UJGM,Dronfield Woodhouse
17UJGN,Eckington North,17UJGN,Eckington North,17UJGN,Eckington North
17UJGP,Eckington South,17UJGP,Eckington South,17UJGP,Eckington South
17UJGQ,Gosforth Valley,17UJGQ,Gosforth Valley,17UJGQ,Gosforth Valley
17UJGR,Grassmoor,17UJGR,Grassmoor,17UJGR,Grassmoor
17UJGS,Holmewood and Heath,17UJGS,Holmewood and Heath,17UJGS,Holmewood and Heath
17UJGT,Killamarsh East,17UJGT,Killamarsh East,17UJGT,Killamarsh East
17UJGU,Killamarsh West,17UJGU,Killamarsh West,17UJGU,Killamarsh West
17UJGW,North Wingfield Central,17UJGW,North Wingfield Central,17UJGW,North Wingfield Central
17UJGX,Pilsley and Morton,17UJGX,Pilsley and Morton,17UJGX,Pilsley and Morton
17UJGY,Renishaw,17UJGY,Renishaw,17UJGY,Renishaw
17UJGZ,Ridgeway and Marsh Lane,17UJGZ,Ridgeway and Marsh Lane,17UJGZ,Ridgeway and Marsh Lane
17UJHA,Shirland,17UJHA,Shirland,17UJHA,Shirland
17UJHB,Sutton,17UJHB,Sutton,17UJHB,Sutton
17UJHC,Tupton,17UJHC,Tupton,17UJHC,Tupton
17UJHD,Unstone,17UJHD,Unstone,17UJHD,Unstone
17UJHE,Wingerworth,17UJHE,Wingerworth,17UJHE,Wingerworth
17UKFW,Aston,17UKFW,Aston,17UKFW,Aston
17UKFX,Church Gresley,17UKFX,Church Gresley,17UKFX,Church Gresley
17UKFY,Etwall,17UKFY,Etwall,17UKFY,Etwall
17UKFZ,Hartshorne and Ticknall,17UKFZ,Hartshorne and Ticknall,17UKFZ,Hartshorne and Ticknall
17UKGA,Hatton,17UKGA,Hatton,17UKGA,Hatton
17UKGB,Hilton,17UKGB,Hilton,17UKGB,Hilton
17UKGC,Linton,17UKGC,Linton,17UKGC,Linton
17UKGD,Melbourne,17UKGD,Melbourne,17UKGD,Melbourne
17UKGE,Midway,17UKGE,Midway,17UKGE,Midway
17UKGF,Newhall and Stanton,17UKGF,Newhall and Stanton,17UKGF,Newhall and Stanton
17UKGG,North West,17UKGG,North West,17UKGG,North West
17UKGH,Repton,17UKGH,Repton,17UKGH,Repton
17UKGJ,Seales,17UKGJ,Seales,17UKGJ,Seales
17UKGK,Stenson,17UKGK,Stenson,17UKGK,Stenson
17UKGL,Swadlincote,17UKGL,Swadlincote,17UKGL,Swadlincote
17UKGM,Willington and Findern,17UKGM,Willington and Findern,17UKGM,Willington and Findern
17UKGN,Woodville,17UKGN,Woodville,17UKGN,Woodville
18UBGN,Axminster Rural,18UBGN,Axminster Rural,18UBGN,Axminster Rural
18UBGP,Axminster Town,18UBGP,Axminster Town,18UBGP,Axminster Town
18UBGQ,Beer and Branscombe,18UBGQ,Beer and Branscombe,18UBGQ,Beer and Branscombe
18UBGR,Broadclyst,18UBGR,Broadclyst,18UBGR,Broadclyst
18UBGS,Budleigh,18UBGS,Budleigh,18UBGS,Budleigh
18UBGT,Clyst Valley,18UBGT,Clyst Valley,18UBGT,Clyst Valley
18UBGU,Coly Valley,18UBGU,Coly Valley,18UBGU,Coly Valley
18UBGW,Dunkeswell,18UBGW,Dunkeswell,18UBGW,Dunkeswell
18UBGX,Exe Valley,18UBGX,Exe Valley,18UBGX,Exe Valley
18UBGY,Exmouth Brixington,18UBGY,Exmouth Brixington,18UBGY,Exmouth Brixington
18UBGZ,Exmouth Halsdon,18UBGZ,Exmouth Halsdon,18UBGZ,Exmouth Halsdon
18UBHA,Exmouth Littleham,18UBHA,Exmouth Littleham,18UBHA,Exmouth Littleham
18UBHB,Exmouth Town,18UBHB,Exmouth Town,18UBHB,Exmouth Town
18UBHC,Exmouth Withycombe Raleigh,18UBHC,Exmouth Withycombe Raleigh,18UBHC,Exmouth Withycombe Raleigh
18UBHD,Feniton and Buckerell,18UBHD,Feniton and Buckerell,18UBHD,Feniton and Buckerell
18UBHE,Honiton St Michael's,18UBHE,Honiton St Michael's,18UBHE,Honiton St Michael's
18UBHF,Honiton St Paul's,18UBHF,Honiton St Paul's,18UBHF,Honiton St Paul's
18UBHG,Newbridges,18UBHG,Newbridges,18UBHG,Newbridges
18UBHH,Newton Poppleford and Harpford,18UBHH,Newton Poppleford and Harpford,18UBHH,Newton Poppleford and Harpford
18UBHJ,Otterhead,18UBHJ,Otterhead,18UBHJ,Otterhead
18UBHK,Ottery St Mary Rural,18UBHK,Ottery St Mary Rural,18UBHK,Ottery St Mary Rural
18UBHL,Ottery St Mary Town,18UBHL,Ottery St Mary Town,18UBHL,Ottery St Mary Town
18UBHM,Raleigh,18UBHM,Raleigh,18UBHM,Raleigh
18UBHN,Seaton,18UBHN,Seaton,18UBHN,Seaton
18UBHP,Sidmouth Rural,18UBHP,Sidmouth Rural,18UBHP,Sidmouth Rural
18UBHQ,Sidmouth Sidford,18UBHQ,Sidmouth Sidford,18UBHQ,Sidmouth Sidford
18UBHR,Sidmouth Town,18UBHR,Sidmouth Town,18UBHR,Sidmouth Town
18UBHS,Tale Vale,18UBHS,Tale Vale,18UBHS,Tale Vale
18UBHT,Trinity,18UBHT,Trinity,18UBHT,Trinity
18UBHU,Whimple,18UBHU,Whimple,18UBHU,Whimple
18UBHW,Woodbury and Lympstone,18UBHW,Woodbury and Lympstone,18UBHW,Woodbury and Lympstone
18UBHX,Yarty,18UBHX,Yarty,18UBHX,Yarty
18UCFU,Alphington,18UCFU,Alphington,18UCFU,Alphington
18UCFW,Cowick,18UCFW,Cowick,18UCFW,Cowick
18UCFX,Duryard,18UCFX,Duryard,18UCFX,Duryard
18UCFY,Exwick,18UCFY,Exwick,18UCFY,Exwick
18UCFZ,Heavitree,18UCFZ,Heavitree,18UCFZ,Heavitree
18UCGA,Mincinglake,18UCGA,Mincinglake,18UCGA,Mincinglake
18UCGB,Newtown,18UCGB,Newtown,18UCGB,Newtown
18UCGC,Pennsylvania,18UCGC,Pennsylvania,18UCGC,Pennsylvania
18UCGD,Pinhoe,18UCGD,Pinhoe,18UCGD,Pinhoe
18UCGE,Polsloe,18UCGE,Polsloe,18UCGE,Polsloe
18UCGF,Priory,18UCGF,Priory,18UCGF,Priory
18UCGG,St David's,18UCGG,St David's,18UCGG,St David's
18UCGH,St James,18UCGH,St James,18UCGH,St James
18UCGJ,St Leonard's,18UCGJ,St Leonard's,18UCGJ,St Leonard's
18UCGK,St Loyes,18UCGK,St Loyes,18UCGK,St Loyes
18UCGL,St Thomas,18UCGL,St Thomas,18UCGL,St Thomas
18UCGM,Topsham,18UCGM,Topsham,18UCGM,Topsham
18UCGN,Whipton & Barton,18UCGN,Whipton & Barton,18UCGN,Whipton & Barton
18UDGF,Boniface,18UDGF,Boniface,18UDGF,Boniface
18UDGG,Bradninch,18UDGG,Bradninch,18UDGG,Bradninch
18UDGH,Cadbury,18UDGH,Cadbury,18UDGH,Cadbury
18UDGJ,Canonsleigh,18UDGJ,Canonsleigh,18UDGJ,Canonsleigh
18UDGK,Castle,18UDGK,Castle,18UDGK,Castle
18UDGL,Clare and Shuttern,18UDGL,Clare and Shuttern,18UDGL,Clare and Shuttern
18UDGM,Cranmore,18UDGM,Cranmore,18UDGM,Cranmore
18UDGN,Cullompton North,18UDGN,Cullompton North,18UDGN,Cullompton North
18UDGP,Cullompton Outer,18UDGP,Cullompton Outer,18UDGP,Cullompton Outer
18UDGQ,Cullompton South,18UDGQ,Cullompton South,18UDGQ,Cullompton South
18UDGR,Halberton,18UDGR,Halberton,18UDGR,Halberton
18UDGS,Lawrence,18UDGS,Lawrence,18UDGS,Lawrence
18UDGT,Lower Culm,18UDGT,Lower Culm,18UDGT,Lower Culm
18UDGU,Lowman,18UDGU,Lowman,18UDGU,Lowman
18UDGW,Newbrooke,18UDGW,Newbrooke,18UDGW,Newbrooke
18UDGX,Sandford and Creedy,18UDGX,Sandford and Creedy,18UDGX,Sandford and Creedy
18UDGY,Silverton,18UDGY,Silverton,18UDGY,Silverton
18UDGZ,Taw,18UDGZ,Taw,18UDGZ,Taw
18UDHA,Taw Vale,18UDHA,Taw Vale,18UDHA,Taw Vale
18UDHB,Upper Culm,18UDHB,Upper Culm,18UDHB,Upper Culm
18UDHC,Upper Yeo,18UDHC,Upper Yeo,18UDHC,Upper Yeo
18UDHD,Way,18UDHD,Way,18UDHD,Way
18UDHE,Westexe,18UDHE,Westexe,18UDHE,Westexe
18UDHF,Yeo,18UDHF,Yeo,18UDHF,Yeo
18UEGH,Bickington and Roundswell,18UEGH,Bickington and Roundswell,18UEGH,Bickington and Roundswell
18UEGJ,Bishop's Nympton,18UEGJ,Bishop's Nympton,18UEGJ,Bishop's Nympton
18UEGK,Bratton Fleming,18UEGK,Bratton Fleming,18UEGK,Bratton Fleming
18UEGL,Braunton East,18UEGL,Braunton East,18UEGL,Braunton East
18UEGM,Braunton West,18UEGM,Braunton West,18UEGM,Braunton West
18UEGN,Central Town,18UEGN,Central Town,18UEGN,Central Town
18UEGP,Chittlehampton,18UEGP,Chittlehampton,18UEGP,Chittlehampton
18UEGQ,Chulmleigh,18UEGQ,Chulmleigh,18UEGQ,Chulmleigh
18UEGR,Combe Martin,18UEGR,Combe Martin,18UEGR,Combe Martin
18UEGS,Forches and Whiddon Valley,18UEGS,Forches and Whiddon Valley,18UEGS,Forches and Whiddon Valley
18UEGT,Fremington,18UEGT,Fremington,18UEGT,Fremington
18UEGU,Georgeham and Mortehoe,18UEGU,Georgeham and Mortehoe,18UEGU,Georgeham and Mortehoe
18UEGW,Heanton Punchardon,18UEGW,Heanton Punchardon,18UEGW,Heanton Punchardon
18UEGX,Ilfracombe Central,18UEGX,Ilfracombe Central,18UEGX,Ilfracombe Central
18UEGY,Ilfracombe East,18UEGY,Ilfracombe East,18UEGY,Ilfracombe East
18UEGZ,Ilfracombe West,18UEGZ,Ilfracombe West,18UEGZ,Ilfracombe West
18UEHA,Instow,18UEHA,Instow,18UEHA,Instow
18UEHB,"Landkey, Swimbridge and Taw",18UEHB,"Landkey, Swimbridge and Taw",18UEHB,"Landkey, Swimbridge and Taw"
18UEHC,Longbridge,18UEHC,Longbridge,18UEHC,Longbridge
18UEHD,Lynton and Lynmouth,18UEHD,Lynton and Lynmouth,18UEHD,Lynton and Lynmouth
18UEHE,Marwood,18UEHE,Marwood,18UEHE,Marwood
18UEHF,Newport,18UEHF,Newport,18UEHF,Newport
18UEHG,North Molton,18UEHG,North Molton,18UEHG,North Molton
18UEHH,Pilton,18UEHH,Pilton,18UEHH,Pilton
18UEHJ,South Molton,18UEHJ,South Molton,18UEHJ,South Molton
18UEHK,Witheridge,18UEHK,Witheridge,18UEHK,Witheridge
18UEHL,Yeo Valley,18UEHL,Yeo Valley,18UEHL,Yeo Valley
18UGGM,Allington and Loddiswell,18UGGM,Allington and Loddiswell,18UGGM,Allington and Loddiswell
18UGGN,Avon and Harbourne,18UGGN,Avon and Harbourne,18UGGN,Avon and Harbourne
18UGGP,Bickleigh and Shaugh,18UGGP,Bickleigh and Shaugh,18UGGP,Bickleigh and Shaugh
18UGGQ,Charterlands,18UGGQ,Charterlands,18UGGQ,Charterlands
18UGGR,Cornwood and Sparkwell,18UGGR,Cornwood and Sparkwell,18UGGR,Cornwood and Sparkwell
18UGGS,Dartington,18UGGS,Dartington,18UGGS,Dartington
18UGGT,Dartmouth and Kingswear,18UGGT,Dartmouth and Kingswear,18UGGT,Dartmouth and Kingswear
18UGGU,Dartmouth Townstal,18UGGU,Dartmouth Townstal,18UGGU,Dartmouth Townstal
18UGGW,East Dart,18UGGW,East Dart,18UGGW,East Dart
18UGGX,Eastmoor,18UGGX,Eastmoor,18UGGX,Eastmoor
18UGGY,Erme Valley,18UGGY,Erme Valley,18UGGY,Erme Valley
18UGGZ,Ivybridge Central,18UGGZ,Ivybridge Central,18UGGZ,Ivybridge Central
18UGHA,Ivybridge Filham,18UGHA,Ivybridge Filham,18UGHA,Ivybridge Filham
18UGHB,Ivybridge Woodlands,18UGHB,Ivybridge Woodlands,18UGHB,Ivybridge Woodlands
18UGHC,Kingsbridge East,18UGHC,Kingsbridge East,18UGHC,Kingsbridge East
18UGHD,Kingsbridge North,18UGHD,Kingsbridge North,18UGHD,Kingsbridge North
18UGHE,Marldon,18UGHE,Marldon,18UGHE,Marldon
18UGHF,Newton and Noss,18UGHF,Newton and Noss,18UGHF,Newton and Noss
18UGHG,Salcombe and Malborough,18UGHG,Salcombe and Malborough,18UGHG,Salcombe and Malborough
18UGHH,Saltstone,18UGHH,Saltstone,18UGHH,Saltstone
18UGHJ,Skerries,18UGHJ,Skerries,18UGHJ,Skerries
18UGHK,South Brent,18UGHK,South Brent,18UGHK,South Brent
18UGHL,Stokenham,18UGHL,Stokenham,18UGHL,Stokenham
18UGHM,Thurlestone,18UGHM,Thurlestone,18UGHM,Thurlestone
18UGHN,Totnes Bridgetown,18UGHN,Totnes Bridgetown,18UGHN,Totnes Bridgetown
18UGHP,Totnes Town,18UGHP,Totnes Town,18UGHP,Totnes Town
18UGHQ,Wembury and Brixton,18UGHQ,Wembury and Brixton,18UGHQ,Wembury and Brixton
18UGHR,West Dart,18UGHR,West Dart,18UGHR,West Dart
18UGHS,Westville and Alvington,18UGHS,Westville and Alvington,18UGHS,Westville and Alvington
18UGHT,Yealmpton,18UGHT,Yealmpton,18UGHT,Yealmpton
18UHGL,Ambrook,18UHGL,Ambrook,18UHGL,Ambrook
18UHGM,Ashburton and Buckfastleigh,18UHGM,Ashburton and Buckfastleigh,18UHGM,Ashburton and Buckfastleigh
18UHGN,Bishopsteignton,18UHGN,Bishopsteignton,18UHGN,Bishopsteignton
18UHGP,Bovey,18UHGP,Bovey,18UHGP,Bovey
18UHGQ,Bradley,18UHGQ,Bradley,18UHGQ,Bradley
18UHGR,Buckland and Milber,18UHGR,Buckland and Milber,18UHGR,Buckland and Milber
18UHGS,Bushell,18UHGS,Bushell,18UHGS,Bushell
18UHGT,Chudleigh,18UHGT,Chudleigh,18UHGT,Chudleigh
18UHGU,College,18UHGU,College,18UHGU,College
18UHGW,Dawlish Central and North East,18UHGW,Dawlish Central and North East,18UHGW,Dawlish Central and North East
18UHGX,Dawlish South West,18UHGX,Dawlish South West,18UHGX,Dawlish South West
18UHGY,Haytor,18UHGY,Haytor,18UHGY,Haytor
18UHGZ,Ipplepen,18UHGZ,Ipplepen,18UHGZ,Ipplepen
18UHHA,Kenn Valley,18UHHA,Kenn Valley,18UHHA,Kenn Valley
18UHHB,Kenton with Starcross,18UHHB,Kenton with Starcross,18UHHB,Kenton with Starcross
18UHHC,Kerswell-with-Combe,18UHHC,Kerswell-with-Combe,18UHHC,Kerswell-with-Combe
18UHHD,Kingsteignton East,18UHHD,Kingsteignton East,18UHHD,Kingsteignton East
18UHHE,Kingsteignton West,18UHHE,Kingsteignton West,18UHHE,Kingsteignton West
18UHHF,Moorland,18UHHF,Moorland,18UHHF,Moorland
18UHHG,Shaldon and Stokeinteignhead,18UHHG,Shaldon and Stokeinteignhead,18UHHG,Shaldon and Stokeinteignhead
18UHHH,Teignbridge North,18UHHH,Teignbridge North,18UHHH,Teignbridge North
18UHHJ,Teignmouth Central,18UHHJ,Teignmouth Central,18UHHJ,Teignmouth Central
18UHHK,Teignmouth East,18UHHK,Teignmouth East,18UHHK,Teignmouth East
18UHHL,Teignmouth West,18UHHL,Teignmouth West,18UHHL,Teignmouth West
18UHHM,Teign Valley,18UHHM,Teign Valley,18UHHM,Teign Valley
18UKGE,Appledore,18UKGE,Appledore,18UKGE,Appledore
18UKGF,Bideford East,18UKGF,Bideford East,18UKGF,Bideford East
18UKGG,Bideford North,18UKGG,Bideford North,18UKGG,Bideford North
18UKGH,Bideford South,18UKGH,Bideford South,18UKGH,Bideford South
18UKGJ,Broadheath,18UKGJ,Broadheath,18UKGJ,Broadheath
18UKGK,Clinton,18UKGK,Clinton,18UKGK,Clinton
18UKGL,Clovelly Bay,18UKGL,Clovelly Bay,18UKGL,Clovelly Bay
18UKGM,Coham Bridge,18UKGM,Coham Bridge,18UKGM,Coham Bridge
18UKGN,Forest,18UKGN,Forest,18UKGN,Forest
18UKGP,Hartland and Bradworthy,18UKGP,Hartland and Bradworthy,18UKGP,Hartland and Bradworthy
18UKGQ,Holsworthy,18UKGQ,Holsworthy,18UKGQ,Holsworthy
18UKGR,Kenwith,18UKGR,Kenwith,18UKGR,Kenwith
18UKGS,Monkleigh and Littleham,18UKGS,Monkleigh and Littleham,18UKGS,Monkleigh and Littleham
18UKGT,Northam,18UKGT,Northam,18UKGT,Northam
18UKGU,Orchard Hill,18UKGU,Orchard Hill,18UKGU,Orchard Hill
18UKGW,Shebbear and Langtree,18UKGW,Shebbear and Langtree,18UKGW,Shebbear and Langtree
18UKGX,Tamarside,18UKGX,Tamarside,18UKGX,Tamarside
18UKGY,Three Moors,18UKGY,Three Moors,18UKGY,Three Moors
18UKGZ,Torrington,18UKGZ,Torrington,18UKGZ,Torrington
18UKHA,Two Rivers,18UKHA,Two Rivers,18UKHA,Two Rivers
18UKHB,Waldon,18UKHB,Waldon,18UKHB,Waldon
18UKHC,Westward Ho!,18UKHC,Westward Ho!,18UKHC,Westward Ho!
18UKHD,Winkleigh,18UKHD,Winkleigh,18UKHD,Winkleigh
18ULFY,Bere Ferrers,18ULFY,Bere Ferrers,18ULFY,Bere Ferrers
18ULFZ,Bridestowe,18ULFZ,Bridestowe,18ULFZ,Bridestowe
18ULGA,Buckland Monachorum,18ULGA,Buckland Monachorum,18ULGA,Buckland Monachorum
18ULGB,Burrator,18ULGB,Burrator,18ULGB,Burrator
18ULGC,Chagford,18ULGC,Chagford,18ULGC,Chagford
18ULGD,Drewsteignton,18ULGD,Drewsteignton,18ULGD,Drewsteignton
18ULGE,Exbourne,18ULGE,Exbourne,18ULGE,Exbourne
18ULGF,Hatherleigh,18ULGF,Hatherleigh,18ULGF,Hatherleigh
18ULGG,Lew Valley,18ULGG,Lew Valley,18ULGG,Lew Valley
18ULGH,Lydford,18ULGH,Lydford,18ULGH,Lydford
18ULGJ,Mary Tavy,18ULGJ,Mary Tavy,18ULGJ,Mary Tavy
18ULGK,Milton Ford,18ULGK,Milton Ford,18ULGK,Milton Ford
18ULGL,North Tawton,18ULGL,North Tawton,18ULGL,North Tawton
18ULGM,Okehampton East,18ULGM,Okehampton East,18ULGM,Okehampton East
18ULGN,Okehampton West,18ULGN,Okehampton West,18ULGN,Okehampton West
18ULGP,Tamarside,18ULGP,Tamarside,18ULGP,Tamarside
18ULGQ,Tavistock North,18ULGQ,Tavistock North,18ULGQ,Tavistock North
18ULGR,Tavistock South,18ULGR,Tavistock South,18ULGR,Tavistock South
18ULGS,Tavistock South West,18ULGS,Tavistock South West,18ULGS,Tavistock South West
18ULGT,South Tawton,18ULGT,South Tawton,18ULGT,South Tawton
18ULGU,Thrushel,18ULGU,Thrushel,18ULGU,Thrushel
18ULGW,Walkham,18ULGW,Walkham,18ULGW,Walkham
19UCFL,Burton and Winkton,19UCFL,Burton and Winkton,19UCFL,Burton and Winkton
19UCFM,Grange,19UCFM,Grange,19UCFM,Grange
19UCFN,Highcliffe,19UCFN,Highcliffe,19UCFN,Highcliffe
19UCFP,Jumpers,19UCFP,Jumpers,19UCFP,Jumpers
19UCFQ,Mudeford and Friars Cliff,19UCFQ,Mudeford and Friars Cliff,19UCFQ,Mudeford and Friars Cliff
19UCFR,North Highcliffe and Walkford,19UCFR,North Highcliffe and Walkford,19UCFR,North Highcliffe and Walkford
19UCFS,Portfield,19UCFS,Portfield,19UCFS,Portfield
19UCFT,Purewell and Stanpit,19UCFT,Purewell and Stanpit,19UCFT,Purewell and Stanpit
19UCFU,St Catherine's and Hurn,19UCFU,St Catherine's and Hurn,19UCFU,St Catherine's and Hurn
19UCFW,Town Centre,19UCFW,Town Centre,19UCFW,Town Centre
19UCFX,West Highcliffe,19UCFX,West Highcliffe,19UCFX,West Highcliffe
19UDGA,Alderholt,19UDGA,Alderholt,19UDGA,Alderholt
19UDGB,Ameysford,19UDGB,Ameysford,19UDGB,Ameysford
19UDGC,Colehill East,19UDGC,Colehill East,19UDGC,Colehill East
19UDGD,Colehill West,19UDGD,Colehill West,19UDGD,Colehill West
19UDGE,Corfe Mullen Central,19UDGE,Corfe Mullen Central,19UDGE,Corfe Mullen Central
19UDGF,Corfe Mullen North,19UDGF,Corfe Mullen North,19UDGF,Corfe Mullen North
19UDGG,Corfe Mullen South,19UDGG,Corfe Mullen South,19UDGG,Corfe Mullen South
19UDGH,Crane,19UDGH,Crane,19UDGH,Crane
19UDGJ,Ferndown Central,19UDGJ,Ferndown Central,19UDGJ,Ferndown Central
19UDGK,Ferndown Links,19UDGK,Ferndown Links,19UDGK,Ferndown Links
19UDGL,Handley Vale,19UDGL,Handley Vale,19UDGL,Handley Vale
19UDGM,Holt,19UDGM,Holt,19UDGM,Holt
19UDGN,Longham,19UDGN,Longham,19UDGN,Longham
19UDGP,Parley,19UDGP,Parley,19UDGP,Parley
19UDGQ,St Leonards and St Ives East,19UDGQ,St Leonards and St Ives East,19UDGQ,St Leonards and St Ives East
19UDGR,St Leonards and St Ives West,19UDGR,St Leonards and St Ives West,19UDGR,St Leonards and St Ives West
19UDGS,Stapehill,19UDGS,Stapehill,19UDGS,Stapehill
19UDGT,Stour,19UDGT,Stour,19UDGT,Stour
19UDGU,Three Cross and Potterne,19UDGU,Three Cross and Potterne,19UDGU,Three Cross and Potterne
19UDGW,Verwood Dewlands,19UDGW,Verwood Dewlands,19UDGW,Verwood Dewlands
19UDGX,Verwood Newtown,19UDGX,Verwood Newtown,19UDGX,Verwood Newtown
19UDGY,Verwood Stephen's Castle,19UDGY,Verwood Stephen's Castle,19UDGY,Verwood Stephen's Castle
19UDGZ,West Moors,19UDGZ,West Moors,19UDGZ,West Moors
19UDHA,Wimborne Minster,19UDHA,Wimborne Minster,19UDHA,Wimborne Minster
19UEGE,Abbey,19UEGE,Abbey,19UEGE,Abbey
19UEGF,Blackmore,19UEGF,Blackmore,19UEGF,Blackmore
19UEGG,Blandford Damory Down,19UEGG,Blandford Damory Down,19UEGG,Blandford Damory Down
19UEGH,Blandford Hilltop,19UEGH,Blandford Hilltop,19UEGH,Blandford Hilltop
19UEGJ,Blandford Langton St Leonards,19UEGJ,Blandford Langton St Leonards,19UEGJ,Blandford Langton St Leonards
19UEGK,Blandford Old Town,19UEGK,Blandford Old Town,19UEGK,Blandford Old Town
19UEGL,Blandford Station,19UEGL,Blandford Station,19UEGL,Blandford Station
19UEGM,Bourton and District,19UEGM,Bourton and District,19UEGM,Bourton and District
19UEGN,Bulbarrow,19UEGN,Bulbarrow,19UEGN,Bulbarrow
19UEGP,Cranborne Chase,19UEGP,Cranborne Chase,19UEGP,Cranborne Chase
19UEGQ,Gillingham Town,19UEGQ,Gillingham Town,19UEGQ,Gillingham Town
19UEGR,Hill Forts,19UEGR,Hill Forts,19UEGR,Hill Forts
19UEGS,Lodbourne,19UEGS,Lodbourne,19UEGS,Lodbourne
19UEGT,Lydden Vale,19UEGT,Lydden Vale,19UEGT,Lydden Vale
19UEGU,Marnhull,19UEGU,Marnhull,19UEGU,Marnhull
19UEGW,Milton,19UEGW,Milton,19UEGW,Milton
19UEGX,Motcombe and Ham,19UEGX,Motcombe and Ham,19UEGX,Motcombe and Ham
19UEGY,Portman,19UEGY,Portman,19UEGY,Portman
19UEGZ,Riversdale,19UEGZ,Riversdale,19UEGZ,Riversdale
19UEHA,Shaftesbury Central,19UEHA,Shaftesbury Central,19UEHA,Shaftesbury Central
19UEHB,Shaftesbury Christy's,19UEHB,Shaftesbury Christy's,19UEHB,Shaftesbury Christy's
19UEHC,Shaftesbury Grosvenor,19UEHC,Shaftesbury Grosvenor,19UEHC,Shaftesbury Grosvenor
19UEHD,Shaftesbury Underhill,19UEHD,Shaftesbury Underhill,19UEHD,Shaftesbury Underhill
19UEHE,Stour Valley,19UEHE,Stour Valley,19UEHE,Stour Valley
19UEHF,The Beacon,19UEHF,The Beacon,19UEHF,The Beacon
19UEHG,The Lower Tarrants,19UEHG,The Lower Tarrants,19UEHG,The Lower Tarrants
19UEHH,The Stours,19UEHH,The Stours,19UEHH,The Stours
19UEHJ,Wyke,19UEHJ,Wyke,19UEHJ,Wyke
19UGFN,Bere Regis,19UGFN,Bere Regis,19UGFN,Bere Regis
